CallerFile,Connector,TargetFunction
"briefing.sqf" -> "A3A_fnc_createBreachChargeText"
"init.sqf" -> "A3A_fnc_log"
"initPlayerLocal.sqf" -> "A3A_fnc_initClient"
"initServer.sqf" -> "A3A_fnc_initServer"
"initServer.sqf" -> "A3A_fnc_createDialog_setParams"
"initServer.sqf" -> "A3A_fnc_log"
"onPlayerRespawn.sqf" -> "A3A_fnc_reinitY"
"onPlayerRespawn.sqf" -> "A3A_fnc_citySupportChange"
"onPlayerRespawn.sqf" -> "A3A_fnc_sizeMarker"
"onPlayerRespawn.sqf" -> "A3A_fnc_statistics"
"onPlayerRespawn.sqf" -> "A3A_fnc_AIVEHinit"
"onPlayerRespawn.sqf" -> "A3A_fnc_ACEpvpReDress"
"onPlayerRespawn.sqf" -> "A3A_fnc_dress"
"onPlayerRespawn.sqf" -> "A3A_fnc_theBossInit"
"onPlayerRespawn.sqf" -> "A3A_fnc_punishment"
"onPlayerRespawn.sqf" -> "A3A_fnc_postmortem"
"onPlayerRespawn.sqf" -> "A3A_fnc_initRevive"
"onPlayerRespawn.sqf" -> "A3A_fnc_customHint"
"fn_airbomb.sqf" -> "A3A_fnc_napalm"
"fn_airbomb.sqf" -> "A3A_fnc_log"
"fn_airdrop.sqf" -> "A3A_fnc_attackDrillAI"
"fn_airdrop.sqf" -> "A3A_fnc_entriesLand"
"fn_airdrop.sqf" -> "A3A_fnc_garrisonUpdate"
"fn_airdrop.sqf" -> "A3A_fnc_groupDespawner"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_scheduler"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_canFight"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_chargeWithSmoke"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_suppressingFire"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_surrenderAction"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_useFlares"
"fn_AIreactOnKill.sqf" -> "A3A_fnc_patrolCA"
"fn_airstrike.sqf" -> "A3A_fnc_airbomb"
"fn_airstrike.sqf" -> "A3A_fnc_airstrike"
"fn_airstrike.sqf" -> "A3A_fnc_getRunwayTakeoffForAirportMarker"
"fn_artillery.sqf" -> "A3A_fnc_distance"
"fn_artillery.sqf" -> "A3A_fnc_distanceUnits"
"fn_artillery.sqf" -> "A3A_fnc_sizeMarker"
"fn_artillery.sqf" -> "A3A_fnc_AIVEHinit"
"fn_artillery.sqf" -> "A3A_fnc_NATOinit"
"fn_artillery.sqf" -> "A3A_fnc_vehAvailable"
"fn_artySupport.sqf" -> "A3A_fnc_commsMP"
"fn_artySupport.sqf" -> "A3A_fnc_sizeMarker"
"fn_artySupport.sqf" -> "A3A_fnc_customHint"
"fn_askHelp.sqf" -> "A3A_fnc_canFight"
"fn_askHelp.sqf" -> "A3A_fnc_help"
"fn_askHelp.sqf" -> "A3A_fnc_fatalWound"
"fn_askHelp.sqf" -> "A3A_fnc_isMedic"
"fn_assaultBuilding.sqf" -> "A3A_fnc_canFight"
"fn_assaultBuilding.sqf" -> "A3A_fnc_recallGroup"
"fn_attackDrillAI.sqf" -> "A3A_fnc_scheduler"
"fn_attackDrillAI.sqf" -> "A3A_fnc_assaultBuilding"
"fn_attackDrillAI.sqf" -> "A3A_fnc_autoRearm"
"fn_attackDrillAI.sqf" -> "A3A_fnc_canFight"
"fn_attackDrillAI.sqf" -> "A3A_fnc_chargeWithSmoke"
"fn_attackDrillAI.sqf" -> "A3A_fnc_destroyBuilding"
"fn_attackDrillAI.sqf" -> "A3A_fnc_doFlank"
"fn_attackDrillAI.sqf" -> "A3A_fnc_enemyList"
"fn_attackDrillAI.sqf" -> "A3A_fnc_hideInBuilding"
"fn_attackDrillAI.sqf" -> "A3A_fnc_isBuildingPosition"
"fn_attackDrillAI.sqf" -> "A3A_fnc_mortarDrill"
"fn_attackDrillAI.sqf" -> "A3A_fnc_mortarSupport"
"fn_attackDrillAI.sqf" -> "A3A_fnc_nearEnemy"
"fn_attackDrillAI.sqf" -> "A3A_fnc_recallGroup"
"fn_attackDrillAI.sqf" -> "A3A_fnc_staticMGDrill"
"fn_attackDrillAI.sqf" -> "A3A_fnc_suppressingFire"
"fn_attackDrillAI.sqf" -> "A3A_fnc_typeOfSoldier"
"fn_attackDrillAI.sqf" -> "A3A_fnc_useFlares"
"fn_attackDrillAI.sqf" -> "A3A_fnc_patrolCA"
"fn_autoHealFnc.sqf" -> "A3A_fnc_customHint"
"fn_autoLoot.sqf" -> "A3A_fnc_canFight"
"fn_autoLoot.sqf" -> "A3A_fnc_basicBackpack"
"fn_autoRearm.sqf" -> "A3A_fnc_canFight"
"fn_autoRearm.sqf" -> "A3A_fnc_getRadio"
"fn_autoRearm.sqf" -> "A3A_fnc_isMedic"
"fn_autoRearm.sqf" -> "A3A_fnc_basicBackpack"
